model,scope,seed,horizon_s,rmse_deg,mae_deg,r2
r1,LORO,3,4,4.660973336221417,3.5007264550208568,0.42786963002144995
r1,LORO,3,5,4.6564039388458385,3.518276791567046,0.4296008262900324
r1,LORO,3,overall,3.4945211947139487,2.4533176882148595,0.6784244166744569
r1,LORO,4,1,1.6263999467907149,1.2209853602925358,0.930326090364172
r1,LORO,4,2,2.1058022913729983,1.5786170594315478,0.8831928173633953
r1,LORO,4,3,3.267331373088032,2.4572275866095312,0.7187736609692712
r1,LORO,4,4,4.664035324391035,3.520719312736399,0.42711767040624127
r1,LORO,4,5,4.670089472673343,3.5250407590537765,0.4262430038889694
r1,LORO,4,overall,3.5019421916639253,2.460518015624758,0.6770571648007829
r2,LORO,0,1,1.6167842296158692,1.2220204824954848,0.9318709714326411
r2,LORO,0,2,2.1233477743671543,1.6019523198602725,0.8825065931233443
r2,LORO,0,3,3.276101879169052,2.476563114393113,0.7202451517413255
r2,LORO,0,4,4.669692510769107,3.524433363795381,0.4316196375046698
r2,LORO,0,5,4.667545950653861,3.534360001894377,0.4321001154174895
r2,LORO,0,overall,3.5056370001852124,2.4718658564877254,0.6796846692888906
r2,LORO,1,1,1.616691889610057,1.2121182869622238,0.931878753368075
r2,LORO,1,2,2.0796197278181774,1.5609598663808324,0.8872960618629627
r2,LORO,1,3,3.285922957671462,2.4658004613835742,0.7185653428473138
r2,LORO,1,4,4.663852253306752,3.5076188349564075,0.4330404641862514
r2,LORO,1,5,4.661344289362985,3.542271332945889,0.43360822396940324
r2,LORO,1,overall,3.499012688935701,2.457753756525785,0.6808940721387402
r2,LORO,2,1,1.5910293385772871,1.1946740463441634,0.9340242335737882
r2,LORO,2,2,2.0780639414011635,1.5675935840658357,0.8874646289001404
r2,LORO,2,3,3.268472906147446,2.470142848646366,0.7215465503495403
r2,LORO,2,4,4.663398227402569,3.5155274717281646,0.43315084580739394
r2,LORO,2,5,4.648554526946986,3.508942605911742,0.4367120831830963
r2,LORO,2,overall,3.489669940161278,2.451376111339255,0.6825958929357768
r2,LORO,3,1,1.607307945963502,1.211779819021073,0.9326672656636446
r2,LORO,3,2,2.095141709075867,1.5870439529667604,0.8856073713940622
r2,LORO,3,3,3.2783607023525745,2.4690791097887055,0.7198592451921231
r2,LORO,3,4,4.675410880853595,3.541463424576574,0.4302267409445534
r2,LORO,3,5,4.661446543155738,3.535013773082385,0.433583374338514
r2,LORO,3,overall,3.501692656087887,2.4688760158870995,0.68040506510386
r2,LORO,4,1,1.6010156791373833,1.2021298353821483,0.933193420259093
r2,LORO,4,2,2.073409231403062,1.5711803951497771,0.8879682061462759
r2,LORO,4,3,3.2847989440570764,2.464665887835471,0.7187578502711206
r2,LORO,4,4,4.664353528011957,3.5224321017844717,0.43291858307514375
r2,LORO,4,5,4.6641165507394815,3.5303743299703556,0.4329343183881331
r2,LORO,4,overall,3.4974950516548047,2.4581565100244442,0.6811708256518494
