n_events,n_detected,detection_rate,missed_event_rate,false_episodes,n_episodes,false_episodes_per_hour,precision,lead_mean_s,lead_p10_s,lead_p50_s,lead_p90_s,duration_h,false_alert_rate,lead_time_s,threshold_deg,alarm,k,n,alpha,seed
2545,1740,0.6836935166994106,0.3163064833005894,158,602,17.807833192448577,0.7375415282392026,4.413218390804598,2.0,5.0,5.0,8.8725,0.2624584717607974,4.413218390804598,15,prob,7,10,0.24638613434110634,3
2545,761,0.29901768172888016,0.7009823182711199,124,430,13.975767821921668,0.7116279069767442,4.011826544021025,1.0,5.0,5.0,8.8725,0.28837209302325584,4.011826544021025,15,prob,10,10,0.24638613434110634,3
2545,2529,0.993713163064833,0.006286836935166962,1039,2236,117.10340941110171,0.5353309481216458,4.356267299327797,2.0,5.0,5.0,8.8725,0.46466905187835417,4.356267299327797,15,prob,1,1,0.2527908549822988,4
2545,2530,0.9941060903732809,0.005893909626719096,490,1224,55.226824457593686,0.5996732026143791,4.595652173913043,3.9000000000000057,5.0,5.0,8.8725,0.40032679738562094,4.595652173913043,15,prob,1,3,0.2527908549822988,4
2545,2442,0.9595284872298625,0.0404715127701375,498,1363,56.128486897717664,0.6346294937637564,4.24979524979525,2.0,5.0,5.0,8.8725,0.36537050623624356,4.24979524979525,15,prob,2,3,0.2527908549822988,4
2545,2130,0.8369351669941061,0.16306483300589392,476,1391,53.64891518737672,0.6578001437814522,3.93849765258216,2.0,5.0,5.0,8.8725,0.34219985621854776,3.93849765258216,15,prob,3,3,0.2527908549822988,4
2545,2532,0.9948919449901769,0.0051080550098231425,308,820,34.714003944773175,0.624390243902439,4.721563981042654,4.0,5.0,5.0,8.8725,0.375609756097561,4.721563981042654,15,prob,1,5,0.2527908549822988,4
2545,2465,0.9685658153241651,0.03143418467583492,293,890,33.023386869540715,0.6707865168539325,4.520081135902637,3.0,5.0,5.0,8.8725,0.32921348314606746,4.520081135902637,15,prob,2,5,0.2527908549822988,4
2545,2291,0.900196463654224,0.09980353634577599,303,977,34.150464919695686,0.6898669396110543,4.353993889131384,2.0,5.0,5.0,8.8725,0.3101330603889457,4.353993889131384,15,prob,3,5,0.2527908549822988,4
2545,1558,0.612180746561886,0.38781925343811396,332,997,37.41899126514511,0.6670010030090271,3.944801026957638,1.0,5.0,5.0,8.8725,0.3329989969909729,3.944801026957638,15,prob,5,5,0.2527908549822988,4
2545,2533,0.9952848722986247,0.004715127701375277,224,609,25.246548323471398,0.632183908045977,4.781287011448875,5.0,5.0,5.0,8.8725,0.367816091954023,4.781287011448875,15,prob,1,7,0.2527908549822988,4
2545,2367,0.9300589390962672,0.06994106090373275,211,718,23.781346858269934,0.7061281337047354,4.569919729615547,3.0,5.0,5.0,8.8725,0.2938718662952646,4.569919729615547,15,prob,3,7,0.2527908549822988,4
2545,1921,0.7548133595284873,0.24518664047151273,240,799,27.049873203719358,0.6996245306633292,4.374804789172306,2.0,5.0,5.0,8.8725,0.3003754693366708,4.374804789172306,15,prob,5,7,0.2527908549822988,4
2545,1179,0.4632612966601179,0.536738703339882,179,672,20.17469709777402,0.7336309523809523,3.9219677692960135,1.0,5.0,5.0,8.8725,0.26636904761904767,3.9219677692960135,15,prob,7,7,0.2527908549822988,4
